Device,Acc_x,Acc_y,Acc_z
2.0,-3527.5242856291475,-850.2224551849678,1325.3512929697506
2.0,-3665.1047526812945,-1144.8344734848522,1235.4630915845028
2.0,-3542.698309069774,-1083.5392797579532,1318.3599612751946
2.0,-3649.9302406780057,-900.6425494053325,1139.5824248673487
2.0,-3665.1047526812945,-802.768180604841,1140.581169089333
2.0,-3681.2905893951165,-1107.266447583183,1112.6158423111087
2.0,-3771.3248710163307,-1154.720661092977,1152.5663440344763
2.0,-3932.172890569343,-930.3014786517034,2103.383423852139
2.0,-3964.544808278318,-1484.9233089900408,1237.4605800284714
2.0,-4048.509431667015,-1472.0711796010128,1040.7054033435759
2.0,-3928.1263703205545,-1323.7765333691582,898.8818306414807
2.0,-3904.8590621010203,-1479.9801541156457,826.9712695332825
